Date Time,p (mbar),T (degC),Tdew (degC),rh (%),VPmax (mbar),VPact (mbar),VPdef (mbar),sh (g/kg),H2OC (mmol/mol),rho (g/m**3),wv (m/s),max. wv (m/s),wd (deg)
17.10.2015 20:00:00,992.31,6.55,5.79,94.9,9.72,9.22,0.5,5.8,9.3,1231.52,0.61,0.96,210.0
17.10.2015 21:00:00,992.52,6.47,5.83,95.7,9.67,9.25,0.42,5.82,9.32,1232.12,0.75,1.08,357.7
17.10.2015 22:00:00,992.57,6.39,5.82,96.1,9.62,9.24,0.38,5.81,9.31,1232.53,0.66,0.9,220.4
17.10.2015 23:00:00,992.35,6.43,5.93,96.6,9.64,9.32,0.33,5.86,9.39,1232.03,0.31,0.68,112.0
18.10.2015 00:00:00,992.24,6.15,5.7,96.9,9.46,9.16,0.29,5.76,9.24,1233.21,0.76,1.06,243.5
18.10.2015 01:00:00,992.31,6.26,5.49,94.8,9.53,9.03,0.5,5.68,9.1,1232.9,0.39,0.76,357.4
18.10.2015 02:00:00,992.17,6.08,5.13,93.6,9.41,8.81,0.6,5.54,8.88,1233.62,0.52,1.16,276.6
18.10.2015 03:00:00,991.93,5.86,4.97,94.0,9.27,8.71,0.56,5.48,8.78,1234.34,0.69,0.96,245.8
18.10.2015 04:00:00,991.68,5.87,5.0,94.1,9.28,8.73,0.55,5.49,8.8,1233.95,0.41,0.84,267.0
18.10.2015 05:00:00,991.7,5.9,4.98,93.8,9.29,8.72,0.58,5.49,8.79,1233.87,0.67,1.0,222.7
18.10.2015 06:00:00,991.69,5.83,4.89,93.7,9.25,8.66,0.58,5.45,8.74,1234.21,1.16,1.36,236.9
18.10.2015 07:00:00,991.96,5.93,5.08,94.3,9.31,8.78,0.53,5.52,8.85,1234.04,0.58,1.0,160.8
18.10.2015 08:00:00,992.05,6.04,5.28,94.8,9.39,8.9,0.49,5.6,8.97,1233.58,1.01,1.48,236.1
18.10.2015 09:00:00,992.2,6.22,5.46,94.9,9.5,9.01,0.48,5.67,9.09,1232.95,1.4,2.0,143.3
18.10.2015 10:00:00,992.47,6.83,5.29,89.9,9.91,8.91,1.0,5.6,8.98,1230.63,0.53,1.2,33.21
18.10.2015 11:00:00,992.56,7.12,5.26,87.9,10.11,8.89,1.22,5.59,8.95,1229.48,0.52,1.08,129.8
18.10.2015 12:00:00,992.21,7.32,5.22,86.5,10.25,8.87,1.38,5.58,8.94,1228.18,0.61,1.12,22.31
18.10.2015 13:00:00,991.81,7.68,5.22,84.4,10.51,8.87,1.64,5.58,8.94,1226.11,1.74,3.24,25.29
18.10.2015 14:00:00,991.53,9.37,5.44,76.4,11.78,9.0,2.78,5.67,9.08,1218.36,1.66,2.72,196.2
18.10.2015 15:00:00,991.58,8.49,5.16,79.5,11.1,8.83,2.28,5.56,8.9,1222.32,1.23,2.32,285.6
18.10.2015 16:00:00,991.82,8.26,4.9,79.3,10.93,8.67,2.26,5.45,8.74,1223.69,0.86,1.92,331.3
18.10.2015 17:00:00,991.83,7.64,4.98,83.2,10.48,8.72,1.76,5.49,8.79,1226.38,0.39,0.88,237.6
18.10.2015 18:00:00,992.05,6.99,4.5,84.1,10.02,8.43,1.59,5.3,8.49,1229.64,1.18,1.96,24.32
18.10.2015 19:00:00,992.45,6.33,4.25,86.5,9.57,8.28,1.29,5.21,8.34,1233.11,1.29,2.24,259.9
18.10.2015 20:00:00,992.51,6.46,4.26,85.8,9.66,8.29,1.37,5.21,8.35,1232.61,0.9,2.4,4.15
18.10.2015 21:00:00,992.82,5.62,4.34,91.5,9.11,8.34,0.77,5.24,8.4,1236.7,0.92,1.28,222.8
18.10.2015 22:00:00,993.05,5.49,4.14,91.0,9.03,8.22,0.81,5.16,8.28,1237.59,1.09,1.76,244.9
18.10.2015 23:00:00,993.02,5.28,4.29,93.3,8.9,8.3,0.6,5.22,8.36,1238.47,0.53,0.76,253.8
19.10.2015 00:00:00,992.85,5.21,4.23,93.4,8.86,8.27,0.58,5.2,8.33,1238.59,0.4,0.8,192.6
19.10.2015 01:00:00,992.72,5.02,4.26,94.8,8.74,8.29,0.45,5.21,8.35,1239.24,0.7,1.2,232.5
19.10.2015 02:00:00,992.84,4.84,3.96,94.0,8.63,8.11,0.52,5.1,8.17,1240.28,0.48,1.04,270.5
19.10.2015 03:00:00,992.94,4.35,3.51,94.3,8.34,7.86,0.48,4.94,7.92,1242.74,0.75,1.56,230.0
19.10.2015 04:00:00,993.0,4.31,3.35,93.5,8.31,7.77,0.54,4.88,7.83,1243.03,0.8,1.12,253.7
19.10.2015 05:00:00,993.09,3.96,3.05,93.8,8.11,7.61,0.5,4.78,7.66,1244.79,1.04,1.44,229.4
19.10.2015 06:00:00,993.41,3.64,3.08,96.1,7.93,7.62,0.31,4.79,7.68,1246.59,0.44,0.88,148.7
19.10.2015 07:00:00,993.64,3.57,3.2,97.4,7.89,7.69,0.21,4.83,7.74,1247.19,0.32,0.5,26.02
19.10.2015 08:00:00,993.94,3.56,3.02,96.2,7.89,7.59,0.3,4.76,7.64,1247.64,0.99,1.24,217.7
19.10.2015 09:00:00,994.18,4.19,3.53,95.5,8.24,7.87,0.37,4.94,7.92,1245.0,1.09,2.0,183.8
19.10.2015 10:00:00,994.35,4.94,4.13,94.5,8.69,8.21,0.48,5.15,8.26,1241.68,0.78,1.82,153.4
19.10.2015 11:00:00,994.42,5.53,4.37,92.2,9.06,8.35,0.71,5.24,8.4,1239.06,0.43,0.84,235.0
19.10.2015 12:00:00,994.16,6.81,4.98,88.1,9.9,8.72,1.18,5.47,8.77,1232.92,0.6,1.44,184.4
19.10.2015 13:00:00,993.91,7.59,5.15,84.5,10.44,8.82,1.62,5.54,8.88,1229.13,0.85,2.36,248.4
19.10.2015 14:00:00,993.79,7.4,4.76,83.3,10.31,8.59,1.72,5.39,8.64,1229.92,0.82,1.68,296.5
19.10.2015 15:00:00,993.55,7.46,4.51,81.5,10.35,8.43,1.91,5.3,8.49,1229.43,0.91,1.52,243.4
19.10.2015 16:00:00,993.66,7.48,4.16,79.4,10.36,8.23,2.13,5.17,8.28,1229.58,0.35,0.8,46.85
19.10.2015 17:00:00,993.68,7.21,4.42,82.4,10.17,8.38,1.79,5.26,8.44,1230.72,0.5,1.06,185.9
19.10.2015 18:00:00,993.71,6.97,4.48,84.1,10.01,8.42,1.59,5.29,8.47,1231.78,0.42,0.8,241.1
19.10.2015 19:00:00,993.93,7.05,4.39,83.1,10.06,8.36,1.7,5.25,8.41,1231.74,0.81,1.88,261.8
19.10.2015 20:00:00,994.16,6.97,4.83,86.2,10.0,8.62,1.38,5.41,8.67,1232.26,0.63,1.36,153.1
19.10.2015 21:00:00,994.16,6.9,4.63,85.4,9.96,8.5,1.45,5.34,8.55,1232.62,0.3,0.68,203.1
19.10.2015 22:00:00,994.1,6.53,4.96,89.7,9.7,8.71,1.0,5.46,8.76,1234.09,1.36,2.08,223.3
19.10.2015 23:00:00,993.9,6.19,5.38,94.5,9.48,8.96,0.52,5.63,9.02,1235.2,1.11,1.76,241.3
20.10.2015 00:00:00,993.78,6.39,5.62,94.8,9.62,9.12,0.5,5.73,9.17,1234.09,0.37,0.64,221.9
