review,sentiment
"Im a die hard Dads Army fan and nothing will ever change that. I got all the tapes, DVD's and audiobooks and every time i watch/listen to them its brand new. <br /><br />The film. The film is a re run of certain episodes, Man and the hour, Enemy within the gates, Battle School and numerous others with a different edge. Introduction of a new General instead of Captain Square was a brilliant move - especially when he wouldn't cash the cheque (something that is rarely done now).<br /><br />It follows through the early years of getting equipment and uniforms, starting up and training. All in all, its a great film for a boring Sunday afternoon. <br /><br />Two draw backs. One is the Germans bogus dodgy accents (come one, Germans cant pronounced the letter ""W"" like us) and Two The casting of Liz Frazer instead of the familiar Janet Davis. I like Liz in other films like the carry ons but she doesn't carry it correctly in this and Janet Davis would have been the better choice.",positive
A very good wartime movie showing the effects of war on a hometown boy who looses his eyesight on Guadalcanal and must come home and re-adjust himself with the help of family and friends. An excellent cast of actor's helps make this movie very entertaining. Eleanor Parker's role as the girlfriend was worthy of an Oscar nomination. She has such an innocence to her in this movie. Ann Doran role was equally satisfying as was all of her small supporting roles. I especially like the hometown aura of pre-war Phildelphia. The hunting scene is very good. Of course the war scene on Guadalcanal truly showed the horror faced by our soldiers during this epic battle. A well deserving film and one that should not be forgotten,positive
"Absolutely fantastic trash....this one has it all: nudity, good fight scenes, gore, action, explosions etc. It also stars the wonderful Belinda Mayne as Ingrid - not Olga as the other reviewer pointed out - although Olga turns into Ingrid later on in the film (you'll have to watch it to see what I mean).<br /><br />I won't bother to go into the story as it's far too long winded and not very interesting. The relationship between Ingrid and her brother Bo (Robert Ginty) is interesting - watch the towel stealing scene to see what I mean.<br /><br />The fight scenes were at once quite good and then spoilt by some really shoddy gore effects that looked like they were done by the team who did City of the Walking Dead (i.e. strange coloured blood gushing out of neck wounds).<br /><br />I'd advise fans of low budget trash to check it out if they can track down a copy - its pretty rare though and I couldn't ever see anyone bothering to re-release it so it'll become all the rarer in a few years.<br /><br />Anyway I'd recommend it solely for Belinda Mayne's great nude scenes! That lady's a fox!",positive
"I liked this movie. It was pretty cool. It has it all: cars, gun shooting, fighting, and even a token girl. It does not excel in any of this things, with the exception of the cars. A bit of shooting, a bit of fighting, a bit of smooching around, and LOT´s of car, with a great chase near the end. The jump, you may say, is impractical, but according to our good friends here at the IMDB it is possible, so the movie ain´t as bad as people are painting it. It has some quality, and I liked to watch it. In fact, I loved the film. And I didn´t need to turn off my brains to watch it. I wasn´t always thinking ""Is this possible?"" or tramp like that. 9 in 10.",positive
"I really don't know why I agreed to watch this movie, but like a complete fool I did and for that I deserve to be shot! I had seen the original Killjoy, well I say I have seen it.... I started watching it but found it that bad that I ended up watching it in 4x speed to get it over with and get rid of the annoying dialogue, but I said I would watch it and I did even if it was in 4x speed.<br /><br />To cut a long story short Killjoy 2 kicks off where Killjoy left off. By this i don't mean the plot, I mean the complete and total bag of dirt known as acting and cheapness. I have nothing against low budget movies, in fact I kinda enjoy them, they are something different from Mega budget blockbusters, but this film is just terrible! The acting is diabolical and the script... well i think you could of given Stevie Wonder a pen and paper, and he would of produced something much better! This movie is just annoying, not to mention the annoying laugh the clown has which is so obviously dubbed! I didn't make it through this movie anyway, about three quarters of the way through it was time to turn it off and throw it through the window. It may of been a rip off to buy as a DVD but as a frisbee it was a mega bargain! <br /><br />Please for the love of mankind itself DO NOT watch this muck, it is possibly the worst thing I have ever seen and considering some of the muck I've seen thats saying a lot! <br /><br />My rating on this movie would be.... Nailgun to the head/10",negative
"I second the motion to make this into a movie, it would be great!! I was also amazed at the storyline and character build in this game. I have played it again and again (over 20 times) just to try something different and it gets more interesting every time. Final Fantasy eat your heart out!! THIS SHOULD BE MADE INTO A MOVIE!!!!! If anyone out there wants some help to start a petition to have this made into a movie, please contact me. I would love to help with that project any day. The graphics are great for PS1 and even make you forget it is PS1 most of the time. The multitude of side quests makes it different every time you play.",positive
"While driving in a highway to the wedding of his beloved Betty-Ann, Adam (Eric Jungmann) is surprised by his former schoolmate Harley (Justin Urich) on the backseat of his car. Adam has broken off with the inconvenient and moron Harley because of Betty-Ann. Along their road trip, Harley makes fun of some rednecks in a bar and later their car is chased by a giant monster truck on the road. After some incidents, they give a lift to the hitchhiker Sarah (Aimee Brooks) and sooner the trio is terrorized by a scary monster driving the monster truck.<br /><br />In spite of having one of the most annoying characters I have ever seen in a horror movie, the irritating Harley, ""Monster Man"" is a surprisingly good trash horror-comedy. The story is a collection of clichés, beginning like ""Joy Ride"" or ""Duel""; then it turns to one of the countless rip-offs of ""The Texas Chainsaw Massacre""; there is a surprising twist, ending with a hook for a sequel. There are hilarious scenes, Aimee Brooks is extremely sexy and this film really entertains. My vote is seven.<br /><br />Title (Brazil): ""Monster Man""",positive
"I can accept the fact this was the NEXT karate kid so Ralph Macchio can be happily retired from the series, and while Hillary Swank is great for the role....the plot to the movie is just dreadful.<br /><br />Mr. Miyagi's old buddy from World War 2 dies, leaving his widow to take care of her rebellious grand-daughter when her parents die in an accident. The girl has no discipline yet is the hero because the local ROTC...which I'll explain in a minute, has it out to get her. You know the drill...Miyagi takes her under his wing and in the end they beat the bad guys and everyone lives happily ever after.<br /><br />Its hokey, its cheesy, its the 90's....but that's not even the long and the short of it. My first case of ""huh?"" is why is there a ""military division"" in high school? I thought that stuff went out in the 1960's, especially in a public school. As much as Michael Ironside kicks booty in his role as the main heel, since when is military involved in a high school? My next gripe is that during the prom scene, the militants bungee jump to scare the crap out of people....why? The thing I noticed throughout all 4 movies was at the very end the heels suddenly turn face after all the nonsense they put the main character through (Billy in part 1, Sato in part 2, Kreese in part 3). This movie is no different. After Ned and cronies basically sabotage the senior prom, blow up Eric's car and threaten Hillary Swank the whole movie.....Ironside tells them to beat her up and they're like ""um...no"" If you're gonna do pathetic face turns, at least make sure the characters haven't done anything too over the top such as blowing up a hot rod.<br /><br />As for the rest of the love plot between Eric and Hillary Swank....corny but nothing to melodramatic, which is a breath of fresh air from the garbage Ralph Macchio pulled in the first 3 movies.<br /><br />I will say for its own movie, after watching the first 3 movies, I can accept it being more or less a spin off...but I can't accept the whole military thing, way too uncommon for it to be taken seriously. Now if Ironside and crew was a wrestling/football team and he was the coach, THAT would have been more believable.<br /><br />Ironside and Morita deliver the goods, Swank is OK...the rest are the same as anything, the one highlight is when they blow up the hot rod, THAT was cool 4 out of 10",negative
"OK I have to admit that I quite enjoyed House of the Dead despite its well documented failings. This however was the worst film I have seen since Demons at the Door. Compared to DATD the effects are vastly superior. However the plot is weak, the acting reminiscent of everyone's favourite, the porn film, and the decisions and actions of the ""characters"" consistently verge on the moronic. I feel like trying out Uwe Boll's latest cinematic outings just to get some sense of perspective over HOTD2. I am not suggesting that he is really the cure, more a case of a different disease, but when your senses have been insulted in such an abhorrent manner the only way is up. OK there it is. I have managed the ten line minimum and shall waste no more of our time on the waste of celluloid that is House of the dead 2.",negative
"this is one of my favorite movies ever! along with casablanca and cannibal holocaust, this is near perfect cinema. rex allen narrates this wonderful tale of a cougar who just needs a little loving. contains action, adventure, suspense, comedy, and riverbed chaos! SEE THIS MOVIE IF YOU HAVE TO KILL TO DO IT!!! you will not find a better cat picture anywhere, with ""cat from outer space"" coming in as a not so close second. charlie's performance is magnificent. even includes animal cruelty and intense logging! gotta love disney, for all moral failures!",positive
